subcategory	observation_type	difficulty	prompt	correct_answer	distractor1	distractor2	distractor3	tags
emperors	Rapid Classification	1	Who was the first Roman emperor, taking power in 27 BC?	Augustus	Julius Caesar	Nero	Tiberius	emperors,augustus
emperors	Rapid Classification	2	Which emperor, successor of Augustus, ruled during Jesus of Nazareth's adulthood?	Tiberius	Claudius	Caligula	Nero	emperors,julio-claudian
emperors	Rapid Classification	2	Which emperor is infamously associated with the Great Fire of Rome in 64 AD?	Nero	Caligula	Claudius	Vespasian	emperors,nero
emperors	Rapid Classification	2	Which emperor began construction of the Colosseum?	Vespasian	Titus	Domitian	Nero	emperors,flavian
emperors	Rapid Classification	2	Which emperor built a famous wall marking the empire's edge in northern Britain?	Hadrian	Trajan	Antoninus Pius	Claudius	emperors,hadrian
emperors	Rapid Classification	2	Which 'philosopher emperor' authored the book 'Meditations'?	Marcus Aurelius	Trajan	Nero	Hadrian	emperors,stoicism
emperors	Rapid Classification	3	Which emperor issued the Edict of Milan, legalizing Christianity?	Constantine	Diocletian	Theodosius	Galerius	emperors,constantine,christianity
emperors	Rapid Classification	3	Which emperor divided the empire into a tetrarchy of four rulers?	Diocletian	Constantine	Aurelian	Septimius Severus	emperors,tetrarchy
emperors	Rapid Classification	3	Which emperor conquered Dacia, noted on his famous column?	Trajan	Hadrian	Nerva	Domitian	emperors,trajan
emperors	Rapid Classification	2	Which emperor launched the Roman invasion of Britain in 43 AD?	Claudius	Caligula	Nero	Vespasian	emperors,claudius,britain
gods_mythology	Rapid Classification	1	Who was the king of the Roman gods?	Jupiter	Mars	Neptune	Apollo	gods,jupiter
gods_mythology	Rapid Classification	1	Who was the Roman god of war?	Mars	Jupiter	Mercury	Vulcan	gods,mars
gods_mythology	Rapid Classification	1	Who was the Roman goddess of love and beauty?	Venus	Diana	Minerva	Juno	gods,venus
gods_mythology	Rapid Classification	1	Who was the Roman god of the sea?	Neptune	Jupiter	Pluto	Mars	gods,neptune
gods_mythology	Rapid Classification	2	Who was the Roman god of the underworld?	Pluto	Neptune	Jupiter	Saturn	gods,pluto
gods_mythology	Rapid Classification	1	Who was the Roman goddess of wisdom and crafts?	Minerva	Diana	Venus	Ceres	gods,minerva
gods_mythology	Rapid Classification	2	Who was the Roman god of wine and revelry?	Bacchus	Apollo	Mercury	Mars	gods,bacchus
gods_mythology	Rapid Classification	1	Who was the Roman messenger of the gods?	Mercury	Apollo	Mars	Vulcan	gods,mercury
gods_mythology	Rapid Classification	2	Who was the Roman god of fire and metalworking?	Vulcan	Mars	Neptune	Apollo	gods,vulcan
gods_mythology	Rapid Classification	1	Who was the Roman goddess of the hunt and the moon?	Diana	Minerva	Venus	Juno	gods,diana
